web-scraper-order,web-scraper-start-url,pages,pages-href,songs,songs-href,text
"1543229139-166","https://songteksten.net/artist/lyrics/40/the-beatles.html","5","https://songteksten.net/artist/lyrics/40/the-beatles/page/5.html","Junk","https://songteksten.net/lyric/40/930/the-beatles/junk.html","The Beatles - Junk
(demo)

Motorcars

Handlebars

Bicycles for two

Broken hearted jubilee

Parachutes

Army boots

Sleeping bags for two

Nah nah nah nah jamboree

Buy buy...

Motorcars

Handlebars

Bicycles for two

Broken hearted jubilee

Parachutes

Army boots

Sleeping bags for you

Nah nah nah jamboree

Buy buy...

...the shop window

Why why, says the sign

In the yard

Buy buy, says the sign

In the shop window

Why why, says the junk

In the yard Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
"1543228955-76","https://songteksten.net/artist/lyrics/40/the-beatles.html","7","https://songteksten.net/artist/lyrics/40/the-beatles/page/7.html","Sure To Fall (In Love With You)","https://songteksten.net/lyric/40/1028/the-beatles/sure-to-fall-in-love-with-you.html","The Beatles - Sure To Fall (In Love With You)
I`m sure to fall, fall in love

I`m sure to fall in love with you

You are so sweet and so near

I`m sure to fall in love with you 

So hold me tight

Let tonight be the night

Darling don`t ever let me go

Loving you is the natural thing to do

I want you for the rest of my life

So hold me tight

Let tonight be the night

Darling don`t ever let me go

Loving you is the natural thing to do

I want you for the rest of my life Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
"1543229286-237","https://songteksten.net/artist/lyrics/40/the-beatles.html","3","https://songteksten.net/artist/lyrics/40/the-beatles/page/3.html","Glad All Over","https://songteksten.net/lyric/40/856/the-beatles/glad-all-over.html","The Beatles - Glad All Over
Ain`t no doubt about it

This must be love

One little kiss from you

And I feel glad all over

Oo baby, hot dang gilly

It`s silly

But I`m glad all over 

Yeah the goosepimples baby

`Cause I feel so good

When you call me like you do

And I feel glad all over

Oo mercy, I`m rock gone puppy

And I`m happy

And I`m glad all over

Your touch sewed me

Like an electric wire

Never thought of make love

It don`t take much looking

To see what I`ve got

But it shows, yes it shows

Come on honey Bonnie

Give me one more time

Everytime you do

Well I feel glad all over

Oo baby, hot dang gilly

It`s silly

But I`m glad all over

Yeah!

Tried to tell you

How I`m cooking inside

When we`re cheek to cheek

My temperature is low

Fever is high

I can`t speak

I`m too weak

Well come on honey Bonnie

Give me one more time

Everytime you do

Well I feel glad all over

Oo baby, hot dang gilly

It`s silly

But I`m glad all over

Hot dang gilly

It`s silly

But I`m glad all over

Well, hot dang gilly

It`s silly

But I`m glad all over Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
"1543229320-253","https://songteksten.net/artist/lyrics/40/the-beatles.html","2","https://songteksten.net/artist/lyrics/40/the-beatles/page/2.html","Everybody's Got Something To Hide Except For Me And My Monkey","https://songteksten.net/lyric/40/841/the-beatles/everybodys-got-something-to-hide-except-for-me-and-my-monkey.html","The Beatles - Everybody's Got Something To Hide Except For Me And My Monkey
Come on come on come on come on 

Come on is such a joy 

Come on is such a joy 

Come on take it easy 

Come on take it easy 

Take it easy take it easy 

Everybody`s got something to hide except for me and my monkey. 

The deeper you go the higher you fly 

The higher you fly the deeper you go 

So come on come on 

Come on is such a joy 

Come on is such a joy 

Come on make it easy 

Come on make it easy. 

Take it easy take it easy 

Everybody`s got something to hide except for me and my monkey. 

Your inside is out and your outside is in 

Your outside is in and your inside is out 

So come on come on 

Come on is such a joy 

Come on is such a joy 

Come on make it easy 

Come on make it easy 

Make it easy make it easy 

Everybody`s got something to hide except for me and my monkey.  Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
"1543229294-241","https://songteksten.net/artist/lyrics/40/the-beatles.html","3","https://songteksten.net/artist/lyrics/40/the-beatles/page/3.html","From Us To You","https://songteksten.net/lyric/40/852/the-beatles/from-us-to-you.html","The Beatles - From Us To You
Da da da da da dum dum dum

Da da da da da dum dum dum

Da da da da da dum dum dum 

If there`s anything that you want

If there`s anything we can do

Just call on us and we`ll send it along

With love from us to you

To you

To you

To you Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
"1543228905-52","https://songteksten.net/artist/lyrics/40/the-beatles.html","8","https://songteksten.net/artist/lyrics/40/the-beatles/page/8.html","The Sheik Of Araby","https://songteksten.net/lyric/40/1054/the-beatles/the-sheik-of-araby.html","The Beatles - The Sheik Of Araby
Well I`m the sheik of Araby

Your love belongs to me

Well at night where you`re asleep

Into your tent I`ll creep

Aha 

The stars that shine above

Will light our way to love

Ah you rule this world with me

I`m the sheik of Araby

Well I`m the sheik of Araby

Your love belongs to me

Wow oh at night where you`re asleep

Into your tent I`ll creep

Aha

The sun that shines above

Will light our way to love

You rule this world with me

I`m the sheik of Araby

Well I`m the sheik of Araby

Well I`m the sheik of Araby, yeah

The sheik of Araby... Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
"1543229244-216","https://songteksten.net/artist/lyrics/40/the-beatles.html","3","https://songteksten.net/artist/lyrics/40/the-beatles/page/3.html","Honey Pie","https://songteksten.net/lyric/40/878/the-beatles/honey-pie.html","The Beatles - Honey Pie
She was a working girl

North of England way

Now she's hit the big time

In the USA

And if she could only hear me

This is what I'd say



Honey pie you are making me crazy

I'm in love but I'm lazy

So won't you please come home



Oh honey pie my position is tragic

Come and show me the magic

Of your Hollywood song



You became a legend of the silver screen

And now the thought of meeting you

Makes me weak in the knee



Oh honey pie you are driving me frantic

Sail across the Atlantic

To be where you belong



Honey pie come back to me, oh



Yeah

I like it like that, oh ah

I like this kind of hot kind of music

Hot kind of music

Play it to me, play it to me, honey, the blues



Will the wind that blew her boat

Across the sea

Kindly send her sailing back to me



Honey pie you are making me crazy

I'm in love but I'm lazy

So won't you please come home

Come, come back to me, honey pie



Oooooooooooh oh

Oh oh oh oh oh oh oh

Honey pie, honey pie Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
"1543229111-152","https://songteksten.net/artist/lyrics/40/the-beatles.html","5","https://songteksten.net/artist/lyrics/40/the-beatles/page/5.html","Love Of The Loved","https://songteksten.net/lyric/40/944/the-beatles/love-of-the-loved.html","The Beatles - Love Of The Loved
Each time I look into your eyes,

I see that there, there heaven lies.

And as I look,

I see the love of the loved. 

Some day they`ll see that from the start,

My place has been deep in your heart.

And in your heart

I see the love of the loved.

Though I`ve said it all before,

I will say it more and more

Now that I`m really sure you love me.

And I know that from today,

I`ll see it in the way

That you look at me and say, ah, you love me.

So let it rain, I`ll never care?

Deep in your heart, I`ll still be there.

And when I`m there,

I see the love of the loved.

Though I`ve said it all before,

I will say it more and more

Now that I`m really sure you love me.

And I know that from today,

I`ll see it in the way

That you look at me and say, ah, you love me.

So let it rain, I`ll never care?

Deep in your heart, I`ll still be there.

And when I`m there,

I see the love of the loved,

I see the love of the loved,

I see the love of the loved. Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
"1543228981-89","https://songteksten.net/artist/lyrics/40/the-beatles.html","7","https://songteksten.net/artist/lyrics/40/the-beatles/page/7.html","She's A Woman","https://songteksten.net/lyric/40/1009/the-beatles/shes-a-woman.html","The Beatles - She's A Woman
My love don`t give me presents 

I know that she`s no peasant 

Only ever has to give me 

Love forever and forever 

My love don`t give me presents 

Turn me on when I get lonely 

People tell me that she`s only fooling 

I know she isn`t 

She don`t give boys the eye 

She hates to see me cry 

She is happy just to hear me 

Say that I will never leave her 

She don`t give boys the eye 

She will never make me jealous 

Gives me all her time as well as loving 

Don`t ask me why 

She`s a woman who understands 

She`s a woman who loves her man 

My love don`t give me presents 

I know that she`s no peasant 

Only ever has to give me 

Love forever and forever 

My love don`t give me presents 

Turn me on when I get lonely 

People tell me that she`s only fooling 

I know she isn`t 

Woo oo oo, woo 

She`s a woman who understands 

She`s a woman who loves her man 

She don`t give boys the eye 

She hates to see me cry 

She is happy just to hear me 

Say that I will never leave her 

She don`t give boys the eye 

She will never make me jealous 

Gives me all her time as well as loving 

Don`t ask me why 

She`s a woman, she`s a woman 

She`s a woman, she`s a woman 

She`s a woman  Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
"1543229047-121","https://songteksten.net/artist/lyrics/40/the-beatles.html","6","https://songteksten.net/artist/lyrics/40/the-beatles/page/6.html","Oh! Darling","https://songteksten.net/lyric/40/976/the-beatles/oh-darling.html","The Beatles - Oh! Darling
Oh! Darling, please believe me 

I`ll never do you no harm 

Believe me when I tell you 

I`ll never do you no harm 

Oh! Darling, if you leave me 

I`ll never make it alone 

Believe me when I beg you 

Don`t ever leave me alone 

When you told me you didn`t need me anymore 

Well you know I nearly broke down and cried 

When you told me you didn`t need me anymore 

Well you know I nearly broke down and died 

Oh! Darling, if you leave me 

I`ll never make it alone 

Believe me when I tell you 

I`ll never do you no harm 

When you told me you didn`t need me anymore 

Well you know I nearly broke down and cried 

When you told me you didn`t need me anymore 

Well you know I nearly broke down and died 

Oh! Darling, please believe me 

I`ll never let you down 

Believe me when I tell you 

I`ll never do you no harm  Songteksten.net heeft toestemming van Stichting FEMU om deze songtekst te tonen. De songteksten mogen niet anders dan voor prive-gebruik gebruikt worden, iedere andere verspreiding van de songteksten is niet toegestaan."
