text,label,length
" Junk
(demo)

Motorcars

Handlebars

Bicycles for two

Broken hearted jubilee

Parachutes

Army boots

Sleeping bags for two

Nah nah nah nah jamboree

Buy buy...

Motorcars

Handlebars

Bicycles for two

Broken hearted jubilee

Parachutes

Army boots

Sleeping bags for you

Nah nah nah jamboree

Buy buy...

...the shop window

Why why, says the sign

In the yard

Buy buy, says the sign

In the shop window

Why why, says the junk

In the yard  ",beatles,641
" Susie Q
Oh, Susie Q

Oh, Susie Q

Oh, Susie Q

I love you

My Susie Q

I love the way you walk

I love the way you talk

Love the way you walk

I love the way you talk

My Susie Q

Say that you'll be true

Say that you'll be true

Say that you'll be true

And never leave me blue

My Susie Q

Oh, Susie Q

Oh, Susie Q

Oh, Susie Q

Honey I love you

My Susie Q  ",stones,641
" Like A Rolling Stone
Once upon a time you dressed so fine

You threw the bums a dime in your prime, didn't you?

People'd call, say ""Beware doll, you're bound to fall""

You thought they were just kiddin' you

You used to laugh about

Everybody that was hangin' out

And now you don't walk so proud

Now you don't talk so loud

About having to be scrounging

For your next meal



How does it feel

How does it feel

To be on your own

With no direction home

A complete unknown

Just like a rolling stone?



You went to the finest schools all right, Miss Lonely

But you know you only used to get juiced in it

And nobody taught you how to

Live out on the street

But now you are gonna have

to get used to it

You said you'd never compromise

With the mystery tramp, but now you Realize

That he's not selling any alibis

As you stare into the vacuum of his eyes

And say : ""Do you want to make a deal?""



How does it feel

How does it feel

To be on your own

With no direction home

Like a complete unknown

Just like a rolling stone?



How does it feel

How does it feel

To be on your own

With no direction home

A complete unknown

Just like a rolling stone?



Princess on the steeple and the pretty people

They're drinkin', thinkin' that they

Got it made

Exchanging all kinds of precious gifts

But you'd better take that diamond ring,

You'd better pawn it babe

You used to be so amused

At Napoleon in rags and the language that he used

Go to him now, he calls you, you can't refuse

When you got nothing, you got nothing to lose

You're invisible now, you got no secrets to conceal



How does it feel

How does it feel

To be on your own

With no direction home

A complete unknown

Just like a rolling stone?  ",stones,641
" Uptight
Baby, everything is all right, uptight, out of sight
 Baby, everything is all right, uptight, out of sight
 I`m a poor man`s son, from across the railroad tracks,
 the only shirt I own , is hanging on my back,
 but I`m the envy of every single guy
 since I`m the apple of my girls eye
 when we go out stepping on the town.
 For a while my money`s low,
 and my suit`s out of style, but it`s all right
 if my clothes aren`t new,
 out of sight, because my heart is true,
 she says baby everything is all right,
 uptight, out of sight, baby everything is
 all right, uptight, clean out of sight. 
   ",stones,641
" You Better Move On
You ask me to give up the hand of the girl I love 
 You tell me, I`m not the man she`s worthy of 
 But who are you to tell her who to love? 
 That`s up to her, yes, and the Lord above 
 You better move on 
 
 Well I know you can buy her fancy clothes 
 But I believe she`s happy with me without those things 
 Still you beg me to set her free 
 But my friend, that will never be 
 You better move on 
 
 Now I don`t blame you for loving her 
 But can`t you understand, man, she`s my girl 
 And I, never never ever gonna let her go 
 ‘Cuz I, yeah, I love her so 
 
 I think you better go now , I`m getting mighty mad 
 You ask me to give up the only love I`ve ever had 
 Maybe I would, oh, but I love her so 
 I`m never gonna let her go 
 You better move on 
   ",stones,641
" Long Long While
Baby, baby been a long, long time, been a long, long time
 Been a long, long time, I was wrong girl and you were right
 Baby, bay, took a long, long while, took a long, long while
 Took a long, long while, but I found out you were right 
 
 Still you have those happy eyes. I will try and apologize
 Baby, baby, still the same old smile
 Still the same old smile
 Still the same old smile, I was so wrong
 Babe and you were right
 Still you have those happy eyes
 Yes! I, I`m gonna try
 I`m gonna try and apologize 
 
 Oh baby, baby been a long, long time
 Been a long, long time, been a long, long time
 I was wrong girl and you were right 
 
 Oh Baby, baby, won`t you change your mind
 Won`t you change your mind
 Won`t you change your mind?
 I was wrong girl, but not this, no, I, I said
 Baby, baby, been a long, long time 
 
 It`s been such a long lonely time
 It`s been such a long, a long, long time
 I was wrong, but I admit, I admit you were right
 Oh baby, baby I just want to change your mind
 I wanted to change your mind 
   ",stones,641
" Pretty Beat Up
Pretty beat up 
 Pretty beat up 
 
 Since you put me down 
 Pretty beat up, pretty beat up 
 Yeah since you left me lying around 
 Pretty beat up, pretty beat up 
 Since you 86-ed me, pretty beat up 
 Never restitched me, pretty beat up 
 My face is a mess, pretty beat up 
 Yeah yeah you ought to see my face 
 Pretty beat up, pretty beat up 
 It`s a mess, pretty beat up, pretty beat up 
 You ought to see inside my heart 
 Pretty beat up, pretty beat up 
 I`m marked for life, pretty beat up 
 I`m marked for life, pretty beat up 
 
 Pretty beat up 
 Pretty beat up 
 Pretty beat up 
 
 Pretty beat up 
 Pretty beat up 
 Pretty beat up 
 Pretty beat up 
 
 Pretty beat up 
 Pretty beat up 
 Pretty beat up 
 
 Yeah I`m just like a battered baby 
 Just left on the street, pretty beat up 
 You ought to see the state, pretty beat up 
 I`ve been cut with a razor, pretty beat up 
 Don`t you cut me up, don`t you cut me up 
 
 I`m pretty beat up 
 Pretty beat up 
 Pretty beat up 
 Pretty beat up....... 
 
   ",stones,641
" We Love You
We don`t care if you only love ""we""
 We don`t care if you only love ""we""
 We love you. We love you, and we hope
 that you will love ""we"" too
 We love ""they"". We love ""they"", and
 we want you to love ""they"" too
 Ah 
 
 We don`t care if you hound ""we"" and
 love is all around ""we""
 Love can`t get our minds off
 We love you, we love you 
 
 You will never win ""we""
 Your uniforms don`t fit ""we""
 We forget the place we`re in
 `Cause we love you
 We love you. Of course, we do 
 
 I love you. I love you
 And I hope that you won`t prove wrong
 too
 We love you. We do. We love you. We
 do. Ah... 
   ",stones,641
" In Another Land
In another land where the breeze and the 
 Trees and flowers were blue 
 I stood and held your hand. 
 And the grass grew high and the feathers floated by 
 I stood and held your hand. 
 And nobody else`s hand will ever do 
 Nobody else will do 
 Then I awoke 
 Was this some kind of joke 
 Much to my surprise 
 I opened my eyes. 
 
 We walked across the sand and the sea and 
 The sky and the castles were blue. 
 I stood and held your hand. 
 And the spray flew high and the feathers floated by 
 I stood and held your hand. 
 And nobody else`s hand will ever do 
 Nobody else will do 
 Then I awoke 
 Was this some kind of joke 
 Much to my surprise 
 When I opened my eyes. 
 
 We heard the trumpets blow and the sky 
 Turned red when I accidently said 
 That I didn`t know how I came to be here 
 Not fast asleep in bed. 
 I stood and held your hand. 
 And nobody else`s hand will ever do 
 Nobody else`s hand 
 Then I awoke 
 Was this some kind of joke 
 I opened my eyes. 
 Much to my surprise. 
 
   ",stones,641
" That's How Strong My Love Is
If I was the sun way up there 
 I`d go with my love everywhere 
 I`ll be the moon when the sun go down 
 To let you know I`m still around 
 That`s how strong my love is, baby 
 That`s how strong my love is 
 That`s how strong my love is 
 That`s how strong my love is 
 
 I`ll be the weeping willow drowning in my tears 
 You can go swimming when you`re here 
 I`ll be the rainbow when the sun is gone 
 Wrap you in my colors and keep you warm 
 That`s how strong my love is 
 That`s how strong my love is 
 That`s how strong my love is 
 That`s how strong my love is 
 
 I`ll be the ocean so deep and wide 
 I`ll dry the tears when you cry 
 I`ll be the breeze when the storm is gone 
 To dry your eyes and keep you warm 
 That`s how strong my love is 
 That`s how strong my love is 
 That`s how strong my love is 
 Baby that`s how strong my love is 
 
 That`s how strong my love is 
 That`s how strong my love is 
 That`s how strong my love is, baby 
 That`s how strong my love is, yeah 
 
 That`s how strong my love is 
 So deep and so wide my love is 
 Yes it is so strong can`t get over it 
 Is so wide you can`t get around me 
 That`s how strong my love is 
 Yeah it so strong, so strong, so strong 
 Yeah yeah yeah, that`s how strong my love is, is so strong 
 I wanna tell you can`t say how strong it is 
 
 That`s how strong my love is 
 That`s how strong my love is, yeah 
 
   ",stones,641
" Start Me Up
If you start me up

If you start me up I'll never stop

If you start me up

If you start me up I'll never stop

I've been running hot

You got me ticking gonna blow my top

If you start me up

If you start me up I'll never stop



You make a grown man cry

Spread out the oil, the gasoline

I walk smooth, ride in a mean, mean machine

Start it up



If you start it up

Kick on the starter give it all you got, you got, you got

I can't compete with the riders in the other heats

If you rough it up

If you like it you can slide it up, slide it up



Don't make a grown man cry

My eyes dilate, my lips go green

My hands are greasy

She's a mean, mean machine

Start it up



If start me up

Give it all you got

You got to never, never, never stop

Never, never

Slide it up



You make a grown man cry

Ride like the wind at double speed

I'll take you places that you've never, never seen

Start it up

Love the day when we will never stop, never stop

Never stop, never stop

Tough me up

Never stop, never stop, never stop



You, you, you make a grown man cry

You, you make a dead man come

You, you make a dead man come  ",stones,641
" Monkey Man
I'm a fleabit peanut monkey

All my friends are junkies

That's not really true

I'm a cold Italian pizza

I could use a lemon squeezer

Would you do?

But I've been bit and I've been tossed around

By every she-rat in this town

Have you, babe?

Well, I am just a monkey man

I'm glad you are a monkey woman too

I was bitten by a boar

I was gouged and I was gored

But I pulled it on through

Yes, I'm a sack of broken eggs

I always have an unmade bed

Don't you?

Well, I hope we're not too messianic

Or a trifle too satanic

We love to play the blues

Well I am just a monkey man

I'm glad you are a monkey, monkey woman too, babe

I'm a monkey

I'm a monkey

I'm a monkey man

I'm a monkey man

I'm a monkey...  ",stones,641
" I Just Want To Make Love To You
I don`t want you be no slave 
 I don`t want you work all day 
 I don`t want `cause I`m sad and blue 
 I just want to make love to you, baby 
 Love to you, baby 
 Love to you, baby 
 Love to you 
 
 I don`t want you cook my bread 
 I don`t want you make my bed 
 I don`t want your money too 
 I just want to make love to you, baby 
 Love to you, baby 
 Love to you, baby 
 Love to you 
 
 Well I can tell by the way that you twitch and walk 
 See by the way that you baby talk 
 Know by the way that you treat your man 
 I can love you, baby, till the night train 
 
 I don`t want you wash my clothes 
 I don`t want you leave the home 
 I don`t want `cause I`m sad and blue 
 I just want to make love to you, baby 
 Love to you, baby 
 Love to you, baby 
 Love to you 
 
 Yeah 
 
 I don`t want you wash my clothes 
 I don`t want you leave the home 
 I don`t want `cause I`m sad and blue 
 I just want to make love to you, baby 
 Love to you, baby 
 Love to you, baby 
 Sweet love to you, baby 
 Love to you, baby 
 I just wanna make love to you, baby 
 Love to you, baby 
 Love to you, baby 
 Love to you 
 I just, I just want ot make love to you, baby 
 I just want to make love 
 
   ",stones,641
" Stop Breaking Down
Ev`ry time I`m walking all down the street 
 Some pretty mama start breaking down on me. 
 Stop breaking down, baby, please, stop breaking down. 
 Stuff is gonna bust you brains out, baby, 
 Gonna make you lose your mind. 
 
 You Saturday night women, now, you just ape and clown, 
 You don`t do nothing but tear my reputation down. 
 Stop breaking down, mama, please, stop breaking down. 
 Stuff is gonna bust you brains out, baby, 
 Yeah, it`s gonna make you lose your mind. 
 
 I love my baby ninety nine degrees, 
 But that mama got a pistol, laid it down on me. 
 Stop breaking down, baby, please, stop breaking down. 
 Stuff is gonna bust you brains out, baby, 
 Yeah, gonna make you lose your mind. 
 
 Ev`ry time I`m walking all down the street 
 Some pretty woman start breaking down on me. 
 Stop breaking down, mama, please, stop breaking down. 
 Stuff is gonna bust your brains out, baby, 
 Gonna make you lose your mind. 
 
   ",stones,641
" I Am Waiting
I am waiting, I am waiting (oh yeah, oh yeah) 
 I am waiting, I am waiting (oh yeah, oh yeah) 
 Waiting for someone to come out of somewhere 
 Waiting for someone to come out of somewhere 
 
 You can`t hold out, you can`t hold out 
 Oh yeah, oh yeah 
 You can`t hold out, you can`t hold out 
 Oh yeah, oh yeah 
 Waiting for someone to come out of somewhere 
 Waiting for someone to come out of somewhere 
 
 See it come along and 
 don`t know where it`s from 
 Oh, yes you will find out 
 
 Well, it happens all the time 
 It`s censored from our minds 
 You`ll find out 
 
 Slow or fast, slow or fast 
 Oh yeah, oh yeah 
 End at last, end at last 
 Oh yeah, oh yeah 
 Waiting for someone to come out of somewhere 
 Waiting for someone to come out of somewhere 
 
 Stand up coming years 
 and escalation fears 
 Oh, yes we will find out 
 
 Well, like a withered stone 
 Fears will pierce your bones 
 You`ll find out 
 
 Oh we`re waiting, oh we`re waiting 
 Oh yeah, oh yeah 
 Oh we`re waiting, oh we`re waiting 
 Oh yeah, oh yeah 
 Waiting for someone to come out of somewhere 
 Waiting for someone to come out of somewhere 
 
 Oh we`re waiting, oh we`re waiting 
 Oh we`re waiting, oh were waiting... 
 
   ",stones,641
" Fortune Teller
Went to the fortune teller
 To have my fortune read
 I didn`t know what to tell her
 I had a dizzy feeling in my head 
 
 Siad she`d take a look at my palm
 She said ""Son, you feel kinda warm""
 And she looked into her crystal ball
 Said ""You`re in love"" 
 
 Said it could not be so
 Not with all the girls I know
 She said when the next one arrives
 Looking into her eyes 
 
 I left there in a hurry
 Looking forward to my big surprise
 The next day I discovered
 That the fortune teller told me a lie 
 
 I hurried back down to that woman
 As mad as I could be
 I told her I didn`t see nobody
 Why`d she make a fool out of me 
 
 Then something struck me
 As if it came from up above
 While looking at the fortune teller
 I fell in love 
 
 Now I`m a happy fellow
 Well I`m married to the fortune teller
 We`re happy as we can be
 Now I get my fortune told for free 
 
 Now I`m a happy fellow
 Well I`m married to the fortune teller
 We`re happy as we can be
 And I get my fortune told for free 
   ",stones,641
" Hand Of Fate
The hand of fate is on me now 
 It pick me up and knock me down 
 I`m on the run, I`m prison bound 
 The hand of fate is heavy now 
 I killed a man, I`m highway bound 
 The wheel of fortune keeps turning round 
 Turning round, turning round 
 I should have known it was a one horse town 
 
 My sweet girl was once his wife 
 He had papers the judge had signed 
 The wind blew hard, it was stormy night 
 He shot me once, but I shot him twice 
 The hand of fate is on me now 
 It pick me up and it kicked me right down 
 Kicked me right down 
 Kicked me right down 
 
 I had to save her life 
 Yeah, I gunned him twice 
 Yeah, and I watched him die, watch out boy 
 Yeah, I watched him die 
 
 He was a barroom man, the violent kind 
 He had no love for that gal of mine 
 Then one day in a drinking bout 
 He swore he`d throw me right of town 
 The hand of fate is on me now 
 I shot that man I put him underground 
 I put him underground 
 Yes I did 
 
 I`m on the run, I hear the hounds 
 My luck is up, my chips are down 
 So goodbye baby, so long now 
 Wish me luck, I`m going to need it child 
 The hand of fate is on me now 
 Yeah it`s too late 
 Too late baby, too late now 
 The hand of fate is on me now 
 The hand of fate is heavy now 
 
 It pick you up and knock you down 
 
   ",stones,641
