song,text,label
Ten westen van de zon,"Opeens ben je de weg kwijt

Draaien met de kaart maar niets wat je herkent

Een jungle heeft geen paden

En je zult vallen als je rent 



Terug

Je wilt terug

Naar een plek waar je nooit bent geweest

Terug naar de wereld

En daarmee verder terug 



En waar is dan het kruispunt?

Leuren met je ziel en denken aan verkopen

Is een luxe, niet een zonde

En een leven moet verlopen 



Terug

Je wilt terug

Naar een plek waar je nooit bent geweest

Terug naar de wereld

En daarmee verder terug 



Op de tast

Op wat je welbeschouwd

Geen naam kunt geven

En pas gerust

Bij wat je niet benauwt

Maar vrij laat leven 



Alles uit je handen

Gooi maar weg, leg maar neer

Want vogels die verbranden

Vliegen meestal nog een keer 



Terug

Je wilt terug

Naar een plek waar je nooit bent geweest

Terug naar de wereld

En dan weer verder",blof
Heimwee,"Vreemd dat ik dacht 

Dat alles mooi zou worden 

Als ik wegging 

Weg van huis 

En dat ik dan echt vrij zou zijn 

Zonder thuis 

Maar ik wist niets van jou 

En jij wist niet waarom 

En toen je het me vroeg 

Zei ik niets en dus genoeg 

Vreemd dat ik dacht 

Dat ik zou kunnen reizen 

Met een circus 

Waar alles mag 

En dat ik dan mezelf zou zijn 

Elke dag 

Maar ik wist niets van mij 

En jij wist niet waarom 

En toen je het me vroeg 

Zei ik niets en dus genoeg 

Mijn lied kan nog zo triest zijn 

Maar het troost het dwaze hart 

Mijn hart dat brak omdat het wilde 

Maar zich vertilde aan jouw pijn 

Vreemd dat ik hoop 

Dat alles goed zal komen 

Als ik terugga 

Terug naar huis 

Maar dat is tegen beter weten in 

Want ik heb heimwee voor altijd",blof
Vraag me niet,"Je zwaait niet voor de foto

Je had alleen plezier

Raak me aan, nog í©í©n zoen

Een zuivere manier

Om nog iets moois te doen 



Vraag me niet om geheimen

Vraag me niet om een lied af te staan

Ik heb nu alles nodig

Wees wie je bent en laat me maar gaan 



We spelen voor de schoonheid

We drinken om de troost

Tegen liefde, dood en de rest

Zo eerlijk dat je bloost

En dat staat jou het best 



Vraag me niet om geheimen

Vraag me niet om een lied af te staan

Ik heb nu alles nodig

Wees wie je bent en laat me maar gaan 



De dagen dat we zorgeloos

Konden proosten op weer een dag

Wisten wij veel

Dat ze voorbij gaan

Dat er niets meer achter lag

En de dingen die we deden

Waren dringend en te laat

Wisten wij veel

Dat het voorbij gaat

Dat het draait om nu en hier

Dus raak me aan, nog í©í©n zoen

Een zuivere manier

Om nog iets moois te doen 



Vraag me niet om geheimen

Vraag me niet om een lied af te staan

Ik heb nu alles nodig

Wees wie je bent en laat me maar gaan

Vraag me niet om geheimen

Vraag me niet om geheimen",blof
Van veraf was het zo mooi,"Van veraf was het zo mooi

En ik hoop dat het me ooit zal zijn vergeven

Ik bracht mijn dagen door dromend dat je bij me was

Van veraf was het zo mooi



Hoe kon ik denken dat het anders zou zijn

Hoe kon ik denken dat het groter dan de wereld was

Hoe kon ik denken dat we samen zouden zijn



Van veraf was het zo mooi

En ik zal je nooit vergeten

Ik breng de dagen door wetend dat het pijn blijft doen

Van veraf was het zo mooi



En er is niemand die het meevoelen kan

En er is niemand die iets troostends hoeft te zeggen

En er is niemand die voor mij schoon schip moet maken

Dat doe ik zelf wel



Van veraf was het zo mooi

En ik hoop dat het me ooit zal zijn vergeven

Hoe kon ik denken dat het anders zou zijn?

Hoe kon ik denken dat het groter dan de wereld was?

Hoe kon ik weten hoe het is om zoveel spijt te hebben

Of is het maar verstreken tijd?

Van veraf was het zo mooi.",blof
De geest,"Rust is er nooit, in mijn slaap niet

En niet als ik meer dan bewust om mezelf heen ren

Tussen de mensen op straat ben ik alleen

En ik praat en ik weet wat ik meen

En wat ik verzin

Het is echt en ik droom tegelijk

Kom in mijn nacht 

Kom bij me liggen

Waak met me mee

Geef me de geest

Geef me de geest



Slaap laat me wachten, dus ik fantaseer

Mijn wereld zoals die ook werkelijk is

Er is altijd een waarheid maar hoe je haar ziet

Hangt af van je moed en je blik

Van wat je doet

En wat doe ik, 

Dagdromer van beroep?

Kom in mijn nacht 

Kom bij me liggen

Waak met me mee

En geef me de geest

Geef me de geest



Hoe minder ik slaap 

Hoe dieper ik droom

De dagen gaan trager

Totdat ze stilstaan 

En loom denk ik dat ik weet wat het is

Je brengt me steeds weer van mijn stuk

Ik zie scherper en scherper 

Dan zie ik niets meer

Heel even maar

Ik noem het geluk

Het grote geluk van de geest



En wat doe ik,

Dagdromer van beroep?

Ik vraag je, ik smeek je

Kom bij me liggen

Waak met me mee

En geef me de geest

Geef me de geest



Breng me de tijd in een fles

Ik geef je mijn bloed

En mijn hoofd op een blad

Dans voor me, naakt 

Kom bij me liggen

Waak met me mee

En geef me de geest

Geef me de geest 3X",blof
Overgave,"Je hebt gewonnen

Je hebt me voor je

Weerloos na al die jaren

Ik was begonnen

Op te houden

Met het kijken en het staren

Naar je benen

Naar je handen

Naar de lijn van je gezicht

Ik kan heel je lichaam zien

met m'n ogen dicht



En meer dan ooit

Ben ik klaar voor overgave

Aan jou

Aan je wil en aan je wet

Neem me mee naar bed

Laten we zacht zijn

Voor elkaar



Ik ben verloren

Mijn verzet gebroken

Weerloos na al die jaren

Opnieuw geboren

Opgehouden

Met het denken en verklaren

Van je woorden

Van je blikken

Van de zin van mijn bestaan

Ik kan heel je lichaam zien

Met de lichten aan



En meer dan ooit

Ben ik klaar voor overgave

Aan jou

Aan je wil en aan je wet

Neem me mee naar bed

Laten we zacht zijn

Voor elkaar

Voor elkaar



Meer dan ooit

Ben ik klaar voor overgave

Aan jou

Aan je wil en aan je wet

Neem me mee naar bed

Laten we zacht zijn

Meer dan ooit

Ben ik klaar voor overgave

Aan jou

Aan je wil en aan je wet

Neem me mee naar bed

Laten we zacht zijn

Voor elkaar ...",blof
Wennen aan September,"Ze koopt haar bloemen zelf

Ze hoopt dat dan de lente aan komt waaien

Maar diep van binnen weet ze wel

Dat ze verwelken in een handomdraai

Dat het water troebel wordt

Dat ze hun hoofden laten hangen



The colour of anything

Is buried underneath the smell of sunlight

And the moon that lies beneath

Hides the bitter truth

That drowning in a bed of blooms

Is better than the lies

That slide from singers and the songs that

Slip their teeth



Bij het vallen van de avond

Verlangt hij naar een spoor

Van een belofte in haar woorden

Dat weet hij wel

En de dagen blijven rennen

De kalender is een spel

Het is wennen aan september

Al zo snel



Ze kijken naar elkaar

Ze vrijen met hun ogen wijder open

Dan ze ooit hebben gedaan

Voor haar voelt het als hoop

Maar ze ziet dat het voor hem

Meer een kwestie is van noodzaak door

De stilte in haar stem



All the summer's falling down

And the sun is on the ground

Falling upon a pile of photographs

And the days flame out

In the dark among the ashes

On this calender go-round

I got older in September

And there's no way out



De bomen worden kaler

(autumn is falling down, around)

Zijn dromen bladeren vooruit

(the leaves are blowing eastward into town)

Als naar het eind van een verhaal

Haar warmte tevergeefs

(all your life you had the things you lose)

Zijn armen leger dan hij nu kan hebben

(the things you keep, the things you wish

you'd never left behind)

Ooit had hij het allemaal



Bij het vallen van de avond

All the summer's falling down

Sleept haar hart zich voort

And her heart is on the ground

Ze wil terug maar gaat toch door

A breath of wind among the photographs

Dat weet ze wel

And the days fade out

Heeft ze hem ooit leren kennen?

In the dark among the endings

Waren ze wel bij elkaar?

On this calender go-round

Het is wennen aan september

Heading west into September



And the lights go down



And the lights go down

Veel te vroeg dit jaar",blof
Helder,"Het ijs tinkelt koeltjes in mijn licht beslagen glas

Steeds meer kringen onder honderdduizend sterren 

Ik zeil door de nacht heen met mezelf als kompas

Steeds meer dingen komen op me af van verre

 

Het ijs al half gesmolten in de warmte van mijn hand

Steeds meer water bij de zuivere jenever

Soms betaal je dubbel voor het blussen van de brand

Waar je even later nog geen stuiver voor zou geven



Vanavond, vanavond 



Vanavond kijk ik dwars dooralles heen

Alles is zo helder, alles is zo licht

Ik en heel de wereld, alles is zo helder

Zo bijzonder helder,en zonder veel gewicht



Het ijs nog maar een vliesje op de bodem van m'n glas

Steeds meer katers liggen voor mijndeur te wachten

Maar ik wil niet verliezen wat al overwonnen was

Dus schenk me nog eens bij, want ik drink op volle kracht



Vanavond kijk ik dwars door alles heen

Alles is zo helder, alles ik zo licht

Ik en heel de wereld, alles is zo helder

Zo bijzonder helder, en zonder veel gewicht 

Helder !",blof
Dat wij dat zijn,"Blof  Dat wij dat zijn



Zie je ze lopen, daar in de verte

Ze lijken gelukkig en vrij

Ze groeten ons blij, alsof ze ons kennen

Al zien ze ons pas voor het eerst en het laatst

Ze gaan verder de weg af, ze zijn al voorbij

En wij willen zo graag, dat wij dat zijn



We dromen allemaal van de anderen

We dromen allemaal dat wij dat zijn

We dromen allemaal van de wilde handen

We dromen dan dat ze van ons zijn



Ze draaien en draaien, om elkaar heen

Liefde, verliefdheid, wat is het?

Hun armen verstrengeld onder haar jas

Het moet er wel warm zijn, en vochtig en zacht

En we willen zo graag dat wij dat zijn 



We dromen allemaal van de anderen

We dromen allemaal dat wij dat zijn

We dromen allemaal van de wilde handen

We dromen dan dat ze van ons zijn

 

Dus laten we net doen

Alsof we daar lopen

De hemel breekt open

Voor de allerlaatste keer

En wij fantaseren onszelf

Daar naar binnen 



We dromen allemaal van de anderen

We dromen allemaal dat wij dat zijn

We dromen allemaal van de wilde handen

We dromen dan dat ze van ons zijn",blof
Hoogmoed en Val,"Al wat ik nu zeg is bij voorbaat al niet waar

Ik lieg mezelf en m'n leven

Ik lieg m'n hele leven zelf bij elkaar

Geloof me op m'n woordHet is waar

Het heet overleven

Dat kan ik erg goed

Ik lach en lieg m'n leven leuker

Omdat ik weet dat iedereen dat doet

'Hoe is het met jou?'

'Met mij is het goed!'



Dus ik kom op als de acteur

Als de acteur die het ijs wel even breken zal

Hé hallo hoogmoed, hier de val

Hé hallo hoogmoed, hier de val

Dus ik kom op als de acteur

Als de acteur die het ijs wel even breken zal

Hé hallo hoogmoed, hier de val



De wereld zou een podium zijn

En een ieder speelt z'n rol

En als ik thuis ben, ben ik nergens

En kom ik buiten, vind ik het podium zo vol



U zegt onzeker? Donder op niet in het geheel

Ik vind me zelf erg goed soms

Maar doel waarschijnlijk op de rol die ik dan speel

Want voor iemand die niet rookt, rook ik wat veel



Maar ik kom op als de acteur

Als de acteur die het ijs wel even breken zal

Hé hallo hoogmoed, hier de val



Het kwam gewaaid, dus ik doe eigenlijk maar wat

Ik heb zowel in lijf als leven

Heb ik eigenlijk nooit een lijn gehad

Nou ja, ik lieg

Het is niet veel, maar je moet wat



'...Als de acteur die het ijs wel even breken zal...'",blof
